#{"t_start": 1789306311.0051324, "env_id": "None"}
r,l,t,episode_max_phase,episode_phases_advanced,episode_enemies_destroyed,episode_spawners_destroyed,episode_shots_fired,episode_damage_dealt,episode_damage_taken,is_success
-39.751836,243,0.878747,1,0,1,0,17,30.0,100.0,False
-40.022413,229,1.691866,1,0,1,0,18,20.0,100.0,False
-39.751067,210,2.491084,1,0,0,0,18,10.0,100.0,False
-40.436336,247,3.422369,1,0,1,0,23,40.0,100.0,False
-40.387521,214,5.360195,1,0,0,0,20,10.0,100.0,False
-40.652544,205,6.100688,1,0,0,0,17,30.0,100.0,False
-40.406373,225,6.917789,1,0,0,0,17,20.0,100.0,False
-39.003278,228,7.73495,1,0,2,0,17,40.0,100.0,False
-39.548549,260,9.840029,1,0,3,0,25,60.0,100.0,False
-41.00928,213,10.59425,1,0,0,0,17,20.0,100.0,False
-39.214094,253,11.510919,1,0,1,0,21,40.0,100.0,False
-39.872379,228,12.318939,1,0,2,0,21,40.0,100.0,False
-40.265072,214,13.0875,1,0,0,0,16,20.0,100.0,False
-35.180378,234,15.221919,1,0,2,0,21,90.0,100.0,False
-39.3691,238,16.060179,1,0,2,0,19,40.0,100.0,False
-40.51431,216,16.845039,1,0,0,0,19,0.0,100.0,False
-39.872278,241,17.710503,1,0,1,0,23,40.0,100.0,False
-39.407085,296,20.01601,1,0,2,0,26,70.0,100.0,False
-39.277134,216,20.788694,1,0,2,0,19,50.0,100.0,False
-36.241732,207,21.51784,1,0,2,0,19,80.0,100.0,False
-39.322505,251,22.425004,1,0,2,0,24,50.0,100.0,False
-39.831557,243,23.296579,1,0,1,0,21,30.0,100.0,False
-39.291426,341,25.715857,1,0,3,0,27,80.0,100.0,False
-39.445641,288,26.781716,1,0,2,0,25,60.0,100.0,False
-40.015221,258,27.695532,1,0,1,0,21,30.0,100.0,False
-38.754892,314,29.995988,1,0,3,0,26,60.0,100.0,False
-40.083746,216,30.779864,1,0,1,0,22,20.0,100.0,False
-37.829718,284,31.785514,1,0,2,0,23,60.0,100.0,False
-37.728923,247,32.736226,1,0,2,0,21,60.0,100.0,False
-39.972201,236,34.760447,1,0,1,0,16,40.0,100.0,False
-38.222533,251,35.715943,1,0,1,0,21,50.0,100.0,False
-39.398525,284,36.753335,1,0,2,0,24,60.0,100.0,False
-40.264039,263,37.705873,1,0,1,0,21,30.0,100.0,False
-41.091759,239,39.767708,1,0,0,0,15,10.0,100.0,False
-39.449264,293,40.822097,1,0,2,0,22,50.0,100.0,False
-38.248866,235,41.686147,1,0,1,0,22,50.0,100.0,False
-40.928146,233,42.53247,1,0,0,0,20,10.0,100.0,False
-38.774245,276,44.761264,1,0,3,0,25,70.0,100.0,False
-40.859516,267,45.734754,1,0,1,0,22,20.0,100.0,False
-41.864505,265,46.695036,1,0,0,0,23,10.0,100.0,False
-39.640736,274,47.708489,1,0,2,0,25,50.0,100.0,False
-39.871981,283,49.923322,1,0,2,0,24,40.0,100.0,False
-41.708881,263,50.960682,1,0,0,0,22,10.0,100.0,False
-39.795363,216,51.753742,1,0,0,0,19,20.0,100.0,False
-41.123348,263,52.695072,1,0,1,0,22,50.0,100.0,False
-40.854953,279,54.902087,1,0,1,0,20,20.0,100.0,False
-40.452855,219,55.715015,1,0,0,0,15,10.0,100.0,False
-41.135748,267,56.693385,1,0,1,0,24,40.0,100.0,False
-41.498656,251,57.618554,1,0,0,0,22,20.0,100.0,False
-40.694607,277,59.86959,1,0,1,0,24,30.0,100.0,False
-40.441105,228,62.347293,1,0,1,0,17,20.0,100.0,False
-40.020859,213,63.145779,1,0,1,0,17,30.0,100.0,False
-40.53999,239,64.026083,1,0,1,0,22,40.0,100.0,False
