episode,environment_return,steps,success,died,truncated,monster_moves
1,0.0,9,0,1,0,8
2,0.0,13,0,1,0,15
3,5.0,39,1,0,0,26
4,0.0,72,0,1,0,52
5,5.0,41,1,0,0,30
6,0.0,10,0,1,0,9
7,5.0,31,1,0,0,25
8,5.0,99,1,0,0,81
9,5.0,23,1,0,0,19
10,1.0,350,0,0,1,286
11,4.0,35,0,1,0,28
12,5.0,29,1,0,0,21
13,5.0,42,1,0,0,28
14,2.0,37,0,1,0,30
15,5.0,44,1,0,0,32
16,1.0,16,0,1,0,13
17,5.0,22,1,0,0,14
18,0.0,108,0,1,0,88
19,5.0,35,1,0,0,27
20,5.0,21,1,0,0,12
21,5.0,63,1,0,0,54
22,5.0,21,1,0,0,13
23,0.0,27,0,1,0,21
24,5.0,49,1,0,0,44
25,0.0,25,0,1,0,18
26,5.0,65,1,0,0,55
27,5.0,28,1,0,0,23
28,5.0,112,1,0,0,92
29,1.0,60,0,1,0,50
30,5.0,65,1,0,0,46
