episode,environment_return,learning_return,intrinsic_return,steps,epsilon,success,died,truncated,monster_moves
1,0.0,0.0,0.0,15,1.0,0,1,0,0
2,0.0,0.0,0.0,59,0.99981,0,1,0,0
3,0.0,0.0,0.0,36,0.99962,0,1,0,0
4,0.0,0.0,0.0,57,0.99943,0,1,0,0
5,0.0,0.0,0.0,17,0.99924,0,1,0,0
6,0.0,0.0,0.0,108,0.99905,0,1,0,0
7,0.0,0.0,0.0,15,0.99886,0,1,0,0
8,0.0,0.0,0.0,42,0.99867,0,1,0,0
9,0.0,0.0,0.0,118,0.99848,0,1,0,0
10,0.0,0.0,0.0,19,0.99829,0,1,0,0
11,0.0,0.0,0.0,86,0.9981,0,1,0,0
12,0.0,0.0,0.0,16,0.99791,0,1,0,0
13,0.0,0.0,0.0,269,0.99772,0,1,0,0
14,0.0,0.0,0.0,39,0.99753,0,1,0,0
15,0.0,0.0,0.0,149,0.99734,0,1,0,0
16,0.0,0.0,0.0,51,0.99715,0,1,0,0
17,0.0,0.0,0.0,53,0.99696,0,1,0,0
18,0.0,0.0,0.0,166,0.99677,0,1,0,0
19,0.0,0.0,0.0,57,0.99658,0,1,0,0
20,0.0,0.0,0.0,54,0.99639,0,1,0,0
21,0.0,0.0,0.0,135,0.9962,0,1,0,0
22,0.0,0.0,0.0,231,0.99601,0,1,0,0
23,0.0,0.0,0.0,117,0.99582,0,1,0,0
24,0.0,0.0,0.0,42,0.99563,0,1,0,0
25,0.0,0.0,0.0,35,0.99544,0,1,0,0
26,0.0,0.0,0.0,111,0.99525,0,1,0,0
27,0.0,0.0,0.0,125,0.9950600000000001,0,1,0,0
28,0.0,0.0,0.0,23,0.99487,0,1,0,0
29,0.0,0.0,0.0,203,0.99468,0,1,0,0
30,0.0,0.0,0.0,77,0.99449,0,1,0,0
31,0.0,0.0,0.0,32,0.9943,0,1,0,0
32,0.0,0.0,0.0,23,0.99411,0,1,0,0
33,0.0,0.0,0.0,30,0.99392,0,1,0,0
34,0.0,0.0,0.0,143,0.99373,0,1,0,0
35,0.0,0.0,0.0,115,0.99354,0,1,0,0
36,0.0,0.0,0.0,22,0.99335,0,1,0,0
37,0.0,0.0,0.0,69,0.99316,0,1,0,0
38,0.0,0.0,0.0,101,0.99297,0,1,0,0
39,0.0,0.0,0.0,80,0.99278,0,1,0,0
40,0.0,0.0,0.0,71,0.99259,0,1,0,0
41,0.0,0.0,0.0,40,0.9924,0,1,0,0
42,0.0,0.0,0.0,120,0.99221,0,1,0,0
43,0.0,0.0,0.0,93,0.99202,0,1,0,0
44,0.0,0.0,0.0,187,0.99183,0,1,0,0
45,0.0,0.0,0.0,77,0.99164,0,1,0,0
46,0.0,0.0,0.0,24,0.99145,0,1,0,0
47,0.0,0.0,0.0,200,0.99126,0,1,0,0
