episode,environment_return,learning_return,intrinsic_return,steps,epsilon,success,died,truncated,monster_moves
1,3.0,3.0,0.0,240,1.0,0,0,1,0
2,3.0,3.0,0.0,240,0.999703125,0,0,1,0
3,1.0,1.0,0.0,240,0.99940625,0,0,1,0
4,1.0,1.0,0.0,240,0.999109375,0,0,1,0
5,5.0,5.0,0.0,240,0.9988125,0,0,1,0
6,6.0,6.0,0.0,226,0.998515625,1,0,0,0
7,4.0,4.0,0.0,240,0.99821875,0,0,1,0
8,0.0,0.0,0.0,240,0.997921875,0,0,1,0
9,1.0,1.0,0.0,240,0.997625,0,0,1,0
10,0.0,0.0,0.0,240,0.997328125,0,0,1,0
11,4.0,4.0,0.0,240,0.99703125,0,0,1,0
12,6.0,6.0,0.0,183,0.996734375,1,0,0,0
13,1.0,1.0,0.0,240,0.9964375,0,0,1,0
14,5.0,5.0,0.0,240,0.996140625,0,0,1,0
15,5.0,5.0,0.0,240,0.99584375,0,0,1,0
16,3.0,3.0,0.0,240,0.995546875,0,0,1,0
17,4.0,4.0,0.0,240,0.99525,0,0,1,0
18,4.0,4.0,0.0,240,0.994953125,0,0,1,0
19,6.0,6.0,0.0,189,0.99465625,1,0,0,0
20,6.0,6.0,0.0,68,0.994359375,1,0,0,0
21,5.0,5.0,0.0,240,0.9940625,0,0,1,0
22,3.0,3.0,0.0,240,0.993765625,0,0,1,0
23,0.0,0.0,0.0,240,0.99346875,0,0,1,0
24,3.0,3.0,0.0,240,0.993171875,0,0,1,0
25,0.0,0.0,0.0,240,0.992875,0,0,1,0
26,2.0,2.0,0.0,240,0.992578125,0,0,1,0
27,2.0,2.0,0.0,240,0.99228125,0,0,1,0
28,2.0,2.0,0.0,240,0.991984375,0,0,1,0
29,0.0,0.0,0.0,240,0.9916875,0,0,1,0
30,6.0,6.0,0.0,222,0.991390625,1,0,0,0
31,4.0,4.0,0.0,240,0.99109375,0,0,1,0
32,2.0,2.0,0.0,240,0.990796875,0,0,1,0
33,4.0,4.0,0.0,240,0.9905,0,0,1,0
34,5.0,5.0,0.0,240,0.990203125,0,0,1,0
35,2.0,2.0,0.0,240,0.98990625,0,0,1,0
36,5.0,5.0,0.0,240,0.989609375,0,0,1,0
37,0.0,0.0,0.0,240,0.9893125,0,0,1,0
38,6.0,6.0,0.0,143,0.989015625,1,0,0,0
39,6.0,6.0,0.0,67,0.98871875,1,0,0,0
40,6.0,6.0,0.0,230,0.988421875,1,0,0,0
41,0.0,0.0,0.0,240,0.988125,0,0,1,0
42,6.0,6.0,0.0,87,0.9878281250000001,1,0,0,0
43,4.0,4.0,0.0,240,0.98753125,0,0,1,0
44,3.0,3.0,0.0,240,0.987234375,0,0,1,0
45,4.0,4.0,0.0,240,0.9869375,0,0,1,0
46,6.0,6.0,0.0,178,0.986640625,1,0,0,0
47,6.0,6.0,0.0,128,0.98634375,1,0,0,0
48,6.0,6.0,0.0,200,0.986046875,1,0,0,0
49,4.0,4.0,0.0,240,0.98575,0,0,1,0
50,6.0,6.0,0.0,236,0.985453125,1,0,0,0
51,6.0,6.0,0.0,145,0.98515625,1,0,0,0
52,1.0,1.0,0.0,240,0.984859375,0,0,1,0
53,6.0,6.0,0.0,169,0.9845625,1,0,0,0
54,1.0,1.0,0.0,240,0.984265625,0,0,1,0
55,5.0,5.0,0.0,240,0.98396875,0,0,1,0
56,5.0,5.0,0.0,240,0.983671875,0,0,1,0
57,4.0,4.0,0.0,240,0.983375,0,0,1,0
58,0.0,0.0,0.0,240,0.983078125,0,0,1,0
59,4.0,4.0,0.0,240,0.98278125,0,0,1,0
60,2.0,2.0,0.0,240,0.982484375,0,0,1,0
61,4.0,4.0,0.0,240,0.9821875,0,0,1,0
62,6.0,6.0,0.0,141,0.981890625,1,0,0,0
63,6.0,6.0,0.0,74,0.98159375,1,0,0,0
64,4.0,4.0,0.0,240,0.981296875,0,0,1,0
65,3.0,3.0,0.0,240,0.981,0,0,1,0
66,0.0,0.0,0.0,240,0.980703125,0,0,1,0
67,0.0,0.0,0.0,240,0.98040625,0,0,1,0
68,3.0,3.0,0.0,240,0.980109375,0,0,1,0
69,2.0,2.0,0.0,240,0.9798125,0,0,1,0
70,4.0,4.0,0.0,240,0.979515625,0,0,1,0
71,2.0,2.0,0.0,240,0.97921875,0,0,1,0
72,5.0,5.0,0.0,240,0.978921875,0,0,1,0
73,0.0,0.0,0.0,240,0.978625,0,0,1,0
74,3.0,3.0,0.0,240,0.978328125,0,0,1,0
75,2.0,2.0,0.0,240,0.97803125,0,0,1,0
76,5.0,5.0,0.0,240,0.977734375,0,0,1,0
77,6.0,6.0,0.0,141,0.9774375,1,0,0,0
78,5.0,5.0,0.0,240,0.977140625,0,0,1,0
79,6.0,6.0,0.0,173,0.97684375,1,0,0,0
80,6.0,6.0,0.0,217,0.976546875,1,0,0,0
81,0.0,0.0,0.0,240,0.97625,0,0,1,0
82,4.0,4.0,0.0,240,0.975953125,0,0,1,0
83,1.0,1.0,0.0,240,0.97565625,0,0,1,0
84,2.0,2.0,0.0,240,0.975359375,0,0,1,0
85,5.0,5.0,0.0,240,0.9750625,0,0,1,0
86,6.0,6.0,0.0,164,0.974765625,1,0,0,0
87,5.0,5.0,0.0,240,0.97446875,0,0,1,0
88,6.0,6.0,0.0,176,0.974171875,1,0,0,0
89,6.0,6.0,0.0,224,0.973875,1,0,0,0
90,1.0,1.0,0.0,240,0.973578125,0,0,1,0
91,6.0,6.0,0.0,195,0.97328125,1,0,0,0
92,4.0,4.0,0.0,240,0.972984375,0,0,1,0
93,3.0,3.0,0.0,240,0.9726875,0,0,1,0
94,6.0,6.0,0.0,91,0.972390625,1,0,0,0
95,0.0,0.0,0.0,240,0.97209375,0,0,1,0
96,2.0,2.0,0.0,240,0.971796875,0,0,1,0
97,5.0,5.0,0.0,240,0.9715,0,0,1,0
98,5.0,5.0,0.0,240,0.971203125,0,0,1,0
99,6.0,6.0,0.0,153,0.97090625,1,0,0,0
100,6.0,6.0,0.0,230,0.970609375,1,0,0,0
101,3.0,3.0,0.0,240,0.9703125,0,0,1,0
102,2.0,2.0,0.0,240,0.970015625,0,0,1,0
103,2.0,2.0,0.0,240,0.96971875,0,0,1,0
104,3.0,3.0,0.0,240,0.969421875,0,0,1,0
105,4.0,4.0,0.0,240,0.969125,0,0,1,0
106,6.0,6.0,0.0,179,0.968828125,1,0,0,0
107,4.0,4.0,0.0,240,0.96853125,0,0,1,0
108,0.0,0.0,0.0,240,0.968234375,0,0,1,0
109,4.0,4.0,0.0,240,0.9679375,0,0,1,0
110,6.0,6.0,0.0,111,0.967640625,1,0,0,0
111,5.0,5.0,0.0,240,0.96734375,0,0,1,0
112,6.0,6.0,0.0,213,0.967046875,1,0,0,0
113,6.0,6.0,0.0,157,0.96675,1,0,0,0
114,0.0,0.0,0.0,240,0.966453125,0,0,1,0
115,0.0,0.0,0.0,240,0.96615625,0,0,1,0
116,1.0,1.0,0.0,240,0.965859375,0,0,1,0
117,3.0,3.0,0.0,240,0.9655625,0,0,1,0
118,6.0,6.0,0.0,119,0.965265625,1,0,0,0
119,1.0,1.0,0.0,240,0.96496875,0,0,1,0
120,0.0,0.0,0.0,240,0.964671875,0,0,1,0
121,0.0,0.0,0.0,240,0.964375,0,0,1,0
122,0.0,0.0,0.0,240,0.964078125,0,0,1,0
123,4.0,4.0,0.0,240,0.96378125,0,0,1,0
124,4.0,4.0,0.0,240,0.963484375,0,0,1,0
125,3.0,3.0,0.0,240,0.9631875,0,0,1,0
126,5.0,5.0,0.0,240,0.962890625,0,0,1,0
127,4.0,4.0,0.0,240,0.96259375,0,0,1,0
128,5.0,5.0,0.0,240,0.962296875,0,0,1,0
129,5.0,5.0,0.0,240,0.962,0,0,1,0
130,6.0,6.0,0.0,66,0.961703125,1,0,0,0
131,0.0,0.0,0.0,240,0.96140625,0,0,1,0
132,4.0,4.0,0.0,240,0.961109375,0,0,1,0
133,3.0,3.0,0.0,240,0.9608125,0,0,1,0
134,1.0,1.0,0.0,240,0.960515625,0,0,1,0
135,3.0,3.0,0.0,240,0.96021875,0,0,1,0
136,6.0,6.0,0.0,88,0.959921875,1,0,0,0
137,6.0,6.0,0.0,138,0.959625,1,0,0,0
138,1.0,1.0,0.0,240,0.959328125,0,0,1,0
139,4.0,4.0,0.0,240,0.95903125,0,0,1,0
140,3.0,3.0,0.0,240,0.958734375,0,0,1,0
141,6.0,6.0,0.0,97,0.9584375,1,0,0,0
142,5.0,5.0,0.0,240,0.958140625,0,0,1,0
143,5.0,5.0,0.0,240,0.95784375,0,0,1,0
144,5.0,5.0,0.0,240,0.957546875,0,0,1,0
145,6.0,6.0,0.0,123,0.95725,1,0,0,0
146,4.0,4.0,0.0,240,0.956953125,0,0,1,0
147,6.0,6.0,0.0,234,0.95665625,1,0,0,0
148,4.0,4.0,0.0,240,0.956359375,0,0,1,0
149,5.0,5.0,0.0,240,0.9560625,0,0,1,0
150,2.0,2.0,0.0,240,0.955765625,0,0,1,0
151,6.0,6.0,0.0,187,0.95546875,1,0,0,0
152,6.0,6.0,0.0,144,0.955171875,1,0,0,0
153,5.0,5.0,0.0,240,0.954875,0,0,1,0
154,3.0,3.0,0.0,240,0.954578125,0,0,1,0
155,3.0,3.0,0.0,240,0.95428125,0,0,1,0
156,6.0,6.0,0.0,139,0.953984375,1,0,0,0
157,6.0,6.0,0.0,120,0.9536875,1,0,0,0
158,2.0,2.0,0.0,240,0.953390625,0,0,1,0
159,6.0,6.0,0.0,224,0.95309375,1,0,0,0
160,6.0,6.0,0.0,236,0.952796875,1,0,0,0
161,0.0,0.0,0.0,240,0.9525,0,0,1,0
162,4.0,4.0,0.0,240,0.952203125,0,0,1,0
163,3.0,3.0,0.0,240,0.95190625,0,0,1,0
164,6.0,6.0,0.0,105,0.951609375,1,0,0,0
165,6.0,6.0,0.0,134,0.9513125,1,0,0,0
166,5.0,5.0,0.0,240,0.951015625,0,0,1,0
167,4.0,4.0,0.0,240,0.9507187500000001,0,0,1,0
168,0.0,0.0,0.0,240,0.950421875,0,0,1,0
169,6.0,6.0,0.0,206,0.950125,1,0,0,0
170,4.0,4.0,0.0,240,0.949828125,0,0,1,0
171,6.0,6.0,0.0,151,0.94953125,1,0,0,0
172,4.0,4.0,0.0,240,0.949234375,0,0,1,0
173,3.0,3.0,0.0,240,0.9489375,0,0,1,0
174,6.0,6.0,0.0,96,0.948640625,1,0,0,0
175,3.0,3.0,0.0,240,0.94834375,0,0,1,0
176,3.0,3.0,0.0,240,0.948046875,0,0,1,0
177,4.0,4.0,0.0,240,0.94775,0,0,1,0
178,3.0,3.0,0.0,240,0.947453125,0,0,1,0
179,5.0,5.0,0.0,240,0.94715625,0,0,1,0
180,1.0,1.0,0.0,240,0.9468593750000001,0,0,1,0
181,6.0,6.0,0.0,141,0.9465625,1,0,0,0
182,6.0,6.0,0.0,148,0.946265625,1,0,0,0
183,4.0,4.0,0.0,240,0.94596875,0,0,1,0
184,3.0,3.0,0.0,240,0.945671875,0,0,1,0
185,6.0,6.0,0.0,147,0.945375,1,0,0,0
186,1.0,1.0,0.0,240,0.945078125,0,0,1,0
187,6.0,6.0,0.0,201,0.94478125,1,0,0,0
188,3.0,3.0,0.0,240,0.944484375,0,0,1,0
189,4.0,4.0,0.0,240,0.9441875,0,0,1,0
190,3.0,3.0,0.0,240,0.943890625,0,0,1,0
191,6.0,6.0,0.0,172,0.94359375,1,0,0,0
192,3.0,3.0,0.0,240,0.943296875,0,0,1,0
193,4.0,4.0,0.0,240,0.9430000000000001,0,0,1,0
194,6.0,6.0,0.0,113,0.942703125,1,0,0,0
195,5.0,5.0,0.0,240,0.94240625,0,0,1,0
196,5.0,5.0,0.0,240,0.942109375,0,0,1,0
197,6.0,6.0,0.0,183,0.9418125,1,0,0,0
198,3.0,3.0,0.0,240,0.941515625,0,0,1,0
199,6.0,6.0,0.0,198,0.94121875,1,0,0,0
200,5.0,5.0,0.0,240,0.940921875,0,0,1,0
201,0.0,0.0,0.0,240,0.940625,0,0,1,0
202,6.0,6.0,0.0,161,0.940328125,1,0,0,0
203,6.0,6.0,0.0,160,0.94003125,1,0,0,0
204,3.0,3.0,0.0,240,0.939734375,0,0,1,0
205,6.0,6.0,0.0,202,0.9394375,1,0,0,0
206,6.0,6.0,0.0,188,0.9391406250000001,1,0,0,0
207,5.0,5.0,0.0,240,0.93884375,0,0,1,0
208,5.0,5.0,0.0,240,0.938546875,0,0,1,0
209,5.0,5.0,0.0,240,0.93825,0,0,1,0
210,5.0,5.0,0.0,240,0.937953125,0,0,1,0
211,6.0,6.0,0.0,124,0.93765625,1,0,0,0
212,4.0,4.0,0.0,240,0.937359375,0,0,1,0
213,1.0,1.0,0.0,240,0.9370625,0,0,1,0
214,0.0,0.0,0.0,240,0.936765625,0,0,1,0
215,6.0,6.0,0.0,231,0.93646875,1,0,0,0
216,3.0,3.0,0.0,240,0.936171875,0,0,1,0
217,5.0,5.0,0.0,240,0.935875,0,0,1,0
218,4.0,4.0,0.0,240,0.935578125,0,0,1,0
219,1.0,1.0,0.0,240,0.93528125,0,0,1,0
220,6.0,6.0,0.0,151,0.934984375,1,0,0,0
221,6.0,6.0,0.0,153,0.9346875,1,0,0,0
222,4.0,4.0,0.0,240,0.934390625,0,0,1,0
223,4.0,4.0,0.0,240,0.93409375,0,0,1,0
224,4.0,4.0,0.0,240,0.933796875,0,0,1,0
225,6.0,6.0,0.0,119,0.9335,1,0,0,0
226,6.0,6.0,0.0,105,0.933203125,1,0,0,0
227,4.0,4.0,0.0,240,0.93290625,0,0,1,0
228,6.0,6.0,0.0,203,0.932609375,1,0,0,0
229,6.0,6.0,0.0,158,0.9323125,1,0,0,0
230,0.0,0.0,0.0,240,0.932015625,0,0,1,0
231,6.0,6.0,0.0,50,0.93171875,1,0,0,0
232,4.0,4.0,0.0,240,0.931421875,0,0,1,0
233,3.0,3.0,0.0,240,0.931125,0,0,1,0
234,2.0,2.0,0.0,240,0.930828125,0,0,1,0
235,4.0,4.0,0.0,240,0.93053125,0,0,1,0
236,6.0,6.0,0.0,206,0.930234375,1,0,0,0
237,6.0,6.0,0.0,118,0.9299375,1,0,0,0
238,2.0,2.0,0.0,240,0.929640625,0,0,1,0
239,1.0,1.0,0.0,240,0.92934375,0,0,1,0
240,2.0,2.0,0.0,240,0.929046875,0,0,1,0
241,5.0,5.0,0.0,240,0.92875,0,0,1,0
242,5.0,5.0,0.0,240,0.928453125,0,0,1,0
243,6.0,6.0,0.0,123,0.92815625,1,0,0,0
244,6.0,6.0,0.0,120,0.927859375,1,0,0,0
245,3.0,3.0,0.0,240,0.9275625,0,0,1,0
246,0.0,0.0,0.0,240,0.927265625,0,0,1,0
247,5.0,5.0,0.0,240,0.92696875,0,0,1,0
248,1.0,1.0,0.0,240,0.926671875,0,0,1,0
249,0.0,0.0,0.0,240,0.926375,0,0,1,0
