episode,environment_return,learning_return,intrinsic_return,steps,epsilon,success,died,truncated,monster_moves
1,0.0,0.0,0.0,161,1.0,0,1,0,119
2,0.0,0.0,0.0,120,0.9999472222222222,0,1,0,112
3,0.0,0.0,0.0,350,0.9998944444444444,0,0,1,271
4,0.0,0.0,0.0,48,0.9998416666666666,0,1,0,39
5,0.0,0.0,0.0,36,0.9997888888888888,0,1,0,31
6,2.0,2.0,0.0,211,0.9997361111111112,0,1,0,156
7,0.0,0.0,0.0,32,0.9996833333333334,0,1,0,23
8,1.0,1.0,0.0,59,0.9996305555555556,0,1,0,52
9,0.0,0.0,0.0,67,0.9995777777777778,0,1,0,47
10,0.0,0.0,0.0,72,0.999525,0,1,0,54
11,2.0,2.0,0.0,148,0.9994722222222222,0,1,0,121
12,0.0,0.0,0.0,15,0.9994194444444444,0,1,0,15
13,1.0,1.0,0.0,204,0.9993666666666666,0,1,0,158
14,1.0,1.0,0.0,146,0.9993138888888888,0,1,0,139
15,0.0,0.0,0.0,74,0.9992611111111112,0,1,0,61
16,1.0,1.0,0.0,189,0.9992083333333334,0,1,0,171
17,0.0,0.0,0.0,169,0.9991555555555556,0,1,0,149
18,0.0,0.0,0.0,118,0.9991027777777778,0,1,0,72
19,0.0,0.0,0.0,51,0.99905,0,1,0,39
20,0.0,0.0,0.0,61,0.9989972222222222,0,1,0,45
21,1.0,1.0,0.0,195,0.9989444444444444,0,1,0,157
22,0.0,0.0,0.0,27,0.9988916666666666,0,1,0,31
23,2.0,2.0,0.0,270,0.9988388888888889,0,1,0,237
24,0.0,0.0,0.0,63,0.9987861111111112,0,1,0,54
25,0.0,0.0,0.0,65,0.9987333333333334,0,1,0,59
26,0.0,0.0,0.0,120,0.9986805555555556,0,1,0,91
27,0.0,0.0,0.0,68,0.9986277777777778,0,1,0,59
28,0.0,0.0,0.0,52,0.998575,0,1,0,44
29,0.0,0.0,0.0,27,0.9985222222222222,0,1,0,20
30,0.0,0.0,0.0,18,0.9984694444444444,0,1,0,12
31,1.0,1.0,0.0,80,0.9984166666666666,0,1,0,53
32,0.0,0.0,0.0,45,0.9983638888888889,0,1,0,31
33,0.0,0.0,0.0,73,0.9983111111111111,0,1,0,56
34,1.0,1.0,0.0,350,0.9982583333333334,0,0,1,273
35,0.0,0.0,0.0,32,0.9982055555555556,0,1,0,20
36,0.0,0.0,0.0,52,0.9981527777777778,0,1,0,48
37,1.0,1.0,0.0,77,0.9981,0,1,0,58
38,1.0,1.0,0.0,207,0.9980472222222222,0,1,0,167
39,0.0,0.0,0.0,88,0.9979944444444444,0,1,0,79
40,0.0,0.0,0.0,58,0.9979416666666666,0,1,0,54
41,0.0,0.0,0.0,19,0.9978888888888889,0,1,0,12
42,0.0,0.0,0.0,86,0.9978361111111111,0,1,0,70
43,0.0,0.0,0.0,35,0.9977833333333334,0,1,0,27
44,5.0,5.0,0.0,191,0.9977305555555556,1,0,0,163
45,0.0,0.0,0.0,47,0.9976777777777778,0,1,0,36
46,0.0,0.0,0.0,52,0.997625,0,1,0,42
47,0.0,0.0,0.0,30,0.9975722222222222,0,1,0,26
48,0.0,0.0,0.0,46,0.9975194444444444,0,1,0,39
49,1.0,1.0,0.0,53,0.9974666666666666,0,1,0,43
50,0.0,0.0,0.0,59,0.9974138888888889,0,1,0,48
51,0.0,0.0,0.0,117,0.9973611111111111,0,1,0,77
52,1.0,1.0,0.0,272,0.9973083333333334,0,1,0,205
53,0.0,0.0,0.0,75,0.9972555555555556,0,1,0,63
54,0.0,0.0,0.0,61,0.9972027777777778,0,1,0,42
55,0.0,0.0,0.0,100,0.99715,0,1,0,72
56,0.0,0.0,0.0,48,0.9970972222222222,0,1,0,48
57,0.0,0.0,0.0,177,0.9970444444444444,0,1,0,135
58,0.0,0.0,0.0,26,0.9969916666666667,0,1,0,23
59,0.0,0.0,0.0,15,0.9969388888888889,0,1,0,15
60,0.0,0.0,0.0,112,0.9968861111111111,0,1,0,86
61,2.0,2.0,0.0,350,0.9968333333333333,0,0,1,282
62,1.0,1.0,0.0,40,0.9967805555555556,0,1,0,31
63,0.0,0.0,0.0,78,0.9967277777777778,0,1,0,66
64,0.0,0.0,0.0,10,0.996675,0,1,0,7
65,0.0,0.0,0.0,8,0.9966222222222222,0,1,0,7
66,2.0,2.0,0.0,84,0.9965694444444444,0,1,0,71
67,0.0,0.0,0.0,83,0.9965166666666667,0,1,0,59
68,0.0,0.0,0.0,38,0.9964638888888889,0,1,0,27
69,0.0,0.0,0.0,72,0.9964111111111111,0,1,0,55
70,1.0,1.0,0.0,96,0.9963583333333333,0,1,0,79
71,0.0,0.0,0.0,35,0.9963055555555556,0,1,0,22
72,0.0,0.0,0.0,78,0.9962527777777778,0,1,0,55
73,0.0,0.0,0.0,42,0.9962,0,1,0,29
74,0.0,0.0,0.0,10,0.9961472222222222,0,1,0,13
75,0.0,0.0,0.0,77,0.9960944444444444,0,1,0,56
76,0.0,0.0,0.0,20,0.9960416666666667,0,1,0,15
77,1.0,1.0,0.0,171,0.9959888888888889,0,1,0,111
78,0.0,0.0,0.0,66,0.9959361111111111,0,1,0,56
79,0.0,0.0,0.0,43,0.9958833333333333,0,1,0,28
80,0.0,0.0,0.0,13,0.9958305555555556,0,1,0,9
81,1.0,1.0,0.0,350,0.9957777777777778,0,0,1,278
82,0.0,0.0,0.0,12,0.995725,0,1,0,10
83,0.0,0.0,0.0,25,0.9956722222222222,0,1,0,17
84,1.0,1.0,0.0,185,0.9956194444444444,0,1,0,142
85,1.0,1.0,0.0,106,0.9955666666666667,0,1,0,87
86,0.0,0.0,0.0,232,0.9955138888888889,0,1,0,187
87,0.0,0.0,0.0,101,0.9954611111111111,0,1,0,82
88,3.0,3.0,0.0,49,0.9954083333333333,0,1,0,40
89,0.0,0.0,0.0,257,0.9953555555555555,0,1,0,223
90,0.0,0.0,0.0,71,0.9953027777777778,0,1,0,63
91,0.0,0.0,0.0,6,0.99525,0,1,0,6
92,0.0,0.0,0.0,13,0.9951972222222222,0,1,0,11
93,0.0,0.0,0.0,67,0.9951444444444445,0,1,0,52
94,0.0,0.0,0.0,10,0.9950916666666667,0,1,0,5
95,0.0,0.0,0.0,34,0.9950388888888889,0,1,0,27
96,0.0,0.0,0.0,46,0.9949861111111111,0,1,0,35
97,0.0,0.0,0.0,75,0.9949333333333333,0,1,0,52
98,0.0,0.0,0.0,57,0.9948805555555555,0,1,0,36
99,0.0,0.0,0.0,164,0.9948277777777778,0,1,0,106
100,0.0,0.0,0.0,15,0.994775,0,1,0,14
101,1.0,1.0,0.0,69,0.9947222222222222,0,1,0,52
102,1.0,1.0,0.0,117,0.9946694444444445,0,1,0,90
103,0.0,0.0,0.0,15,0.9946166666666667,0,1,0,15
104,0.0,0.0,0.0,113,0.9945638888888889,0,1,0,76
105,0.0,0.0,0.0,80,0.9945111111111111,0,1,0,61
106,0.0,0.0,0.0,32,0.9944583333333333,0,1,0,19
107,0.0,0.0,0.0,44,0.9944055555555555,0,1,0,34
108,2.0,2.0,0.0,134,0.9943527777777778,0,1,0,110
109,0.0,0.0,0.0,37,0.9943,0,1,0,38
