episode,environment_return,learning_return,intrinsic_return,steps,epsilon,success,died,truncated,monster_moves
1,4.0,4.0,0.0,350,1.0,0,0,1,0
2,3.0,3.0,0.0,350,0.9998272727272727,0,0,1,0
3,2.0,2.0,0.0,350,0.9996545454545455,0,0,1,0
4,4.0,4.0,0.0,350,0.9994818181818181,0,0,1,0
5,4.0,4.0,0.0,350,0.9993090909090909,0,0,1,0
6,2.0,2.0,0.0,350,0.9991363636363636,0,0,1,0
7,4.0,4.0,0.0,350,0.9989636363636364,0,0,1,0
8,5.0,5.0,0.0,236,0.9987909090909091,1,0,0,0
9,2.0,2.0,0.0,350,0.9986181818181818,0,0,1,0
10,5.0,5.0,0.0,218,0.9984454545454545,1,0,0,0
11,5.0,5.0,0.0,212,0.9982727272727273,1,0,0,0
12,4.0,4.0,0.0,350,0.9981,0,0,1,0
13,5.0,5.0,0.0,124,0.9979272727272728,1,0,0,0
14,5.0,5.0,0.0,260,0.9977545454545454,1,0,0,0
15,4.0,4.0,0.0,350,0.9975818181818182,0,0,1,0
16,4.0,4.0,0.0,350,0.9974090909090909,0,0,1,0
17,3.0,3.0,0.0,350,0.9972363636363636,0,0,1,0
18,2.0,2.0,0.0,350,0.9970636363636364,0,0,1,0
19,2.0,2.0,0.0,350,0.996890909090909,0,0,1,0
20,3.0,3.0,0.0,350,0.9967181818181818,0,0,1,0
21,3.0,3.0,0.0,350,0.9965454545454545,0,0,1,0
22,2.0,2.0,0.0,350,0.9963727272727273,0,0,1,0
23,3.0,3.0,0.0,350,0.9962,0,0,1,0
24,4.0,4.0,0.0,350,0.9960272727272728,0,0,1,0
25,5.0,5.0,0.0,294,0.9958545454545454,1,0,0,0
26,4.0,4.0,0.0,350,0.9956818181818182,0,0,1,0
27,4.0,4.0,0.0,350,0.9955090909090909,0,0,1,0
28,3.0,3.0,0.0,350,0.9953363636363637,0,0,1,0
29,3.0,3.0,0.0,350,0.9951636363636364,0,0,1,0
30,5.0,5.0,0.0,187,0.994990909090909,1,0,0,0
31,4.0,4.0,0.0,350,0.9948181818181818,0,0,1,0
32,3.0,3.0,0.0,350,0.9946454545454545,0,0,1,0
33,4.0,4.0,0.0,350,0.9944727272727273,0,0,1,0
34,5.0,5.0,0.0,320,0.9943,1,0,0,0
35,4.0,4.0,0.0,350,0.9941272727272727,0,0,1,0
36,5.0,5.0,0.0,304,0.9939545454545454,1,0,0,0
37,4.0,4.0,0.0,350,0.9937818181818182,0,0,1,0
38,5.0,5.0,0.0,347,0.9936090909090909,1,0,0,0
39,4.0,4.0,0.0,350,0.9934363636363637,0,0,1,0
40,3.0,3.0,0.0,350,0.9932636363636363,0,0,1,0
41,5.0,5.0,0.0,295,0.9930909090909091,1,0,0,0
42,3.0,3.0,0.0,350,0.9929181818181818,0,0,1,0
43,3.0,3.0,0.0,350,0.9927454545454546,0,0,1,0
44,2.0,2.0,0.0,350,0.9925727272727273,0,0,1,0
45,1.0,1.0,0.0,350,0.9924,0,0,1,0
46,5.0,5.0,0.0,335,0.9922272727272727,1,0,0,0
47,1.0,1.0,0.0,350,0.9920545454545454,0,0,1,0
48,2.0,2.0,0.0,350,0.9918818181818182,0,0,1,0
49,5.0,5.0,0.0,206,0.9917090909090909,1,0,0,0
50,1.0,1.0,0.0,350,0.9915363636363637,0,0,1,0
51,2.0,2.0,0.0,350,0.9913636363636363,0,0,1,0
52,5.0,5.0,0.0,212,0.9911909090909091,1,0,0,0
53,4.0,4.0,0.0,350,0.9910181818181818,0,0,1,0
54,4.0,4.0,0.0,350,0.9908454545454546,0,0,1,0
55,5.0,5.0,0.0,275,0.9906727272727273,1,0,0,0
56,3.0,3.0,0.0,350,0.9905,0,0,1,0
57,1.0,1.0,0.0,350,0.9903272727272727,0,0,1,0
58,4.0,4.0,0.0,350,0.9901545454545455,0,0,1,0
59,5.0,5.0,0.0,183,0.9899818181818182,1,0,0,0
60,4.0,4.0,0.0,350,0.9898090909090909,0,0,1,0
61,3.0,3.0,0.0,350,0.9896363636363636,0,0,1,0
62,5.0,5.0,0.0,315,0.9894636363636363,1,0,0,0
63,5.0,5.0,0.0,190,0.9892909090909091,1,0,0,0
64,1.0,1.0,0.0,350,0.9891181818181818,0,0,1,0
65,1.0,1.0,0.0,350,0.9889454545454546,0,0,1,0
66,5.0,5.0,0.0,242,0.9887727272727272,1,0,0,0
67,4.0,4.0,0.0,350,0.9886,0,0,1,0
68,2.0,2.0,0.0,350,0.9884272727272727,0,0,1,0
69,5.0,5.0,0.0,251,0.9882545454545455,1,0,0,0
70,3.0,3.0,0.0,350,0.9880818181818182,0,0,1,0
71,3.0,3.0,0.0,350,0.987909090909091,0,0,1,0
72,5.0,5.0,0.0,191,0.9877363636363636,1,0,0,0
73,2.0,2.0,0.0,350,0.9875636363636363,0,0,1,0
74,4.0,4.0,0.0,350,0.9873909090909091,0,0,1,0
75,2.0,2.0,0.0,350,0.9872181818181818,0,0,1,0
76,5.0,5.0,0.0,246,0.9870454545454546,1,0,0,0
77,5.0,5.0,0.0,270,0.9868727272727272,1,0,0,0
78,4.0,4.0,0.0,350,0.9867,0,0,1,0
79,1.0,1.0,0.0,350,0.9865272727272727,0,0,1,0
80,5.0,5.0,0.0,322,0.9863545454545455,1,0,0,0
81,4.0,4.0,0.0,350,0.9861818181818182,0,0,1,0
82,3.0,3.0,0.0,350,0.986009090909091,0,0,1,0
83,2.0,2.0,0.0,350,0.9858363636363636,0,0,1,0
84,5.0,5.0,0.0,300,0.9856636363636364,1,0,0,0
85,4.0,4.0,0.0,350,0.9854909090909091,0,0,1,0
86,1.0,1.0,0.0,350,0.9853181818181819,0,0,1,0
87,4.0,4.0,0.0,350,0.9851454545454545,0,0,1,0
88,2.0,2.0,0.0,350,0.9849727272727272,0,0,1,0
89,4.0,4.0,0.0,350,0.9848,0,0,1,0
90,2.0,2.0,0.0,350,0.9846272727272727,0,0,1,0
91,5.0,5.0,0.0,124,0.9844545454545455,1,0,0,0
92,2.0,2.0,0.0,350,0.9842818181818181,0,0,1,0
93,3.0,3.0,0.0,350,0.9841090909090909,0,0,1,0
94,2.0,2.0,0.0,350,0.9839363636363636,0,0,1,0
95,5.0,5.0,0.0,300,0.9837636363636364,1,0,0,0
96,4.0,4.0,0.0,350,0.9835909090909091,0,0,1,0
97,5.0,5.0,0.0,284,0.9834181818181819,1,0,0,0
98,4.0,4.0,0.0,350,0.9832454545454545,0,0,1,0
99,5.0,5.0,0.0,251,0.9830727272727273,1,0,0,0
100,5.0,5.0,0.0,268,0.9829,1,0,0,0
101,4.0,4.0,0.0,350,0.9827272727272728,0,0,1,0
102,4.0,4.0,0.0,350,0.9825545454545455,0,0,1,0
103,3.0,3.0,0.0,350,0.9823818181818181,0,0,1,0
104,4.0,4.0,0.0,350,0.9822090909090909,0,0,1,0
105,2.0,2.0,0.0,350,0.9820363636363636,0,0,1,0
106,4.0,4.0,0.0,350,0.9818636363636364,0,0,1,0
107,5.0,5.0,0.0,204,0.9816909090909091,1,0,0,0
108,3.0,3.0,0.0,350,0.9815181818181818,0,0,1,0
109,5.0,5.0,0.0,89,0.9813454545454545,1,0,0,0
110,4.0,4.0,0.0,350,0.9811727272727273,0,0,1,0
111,2.0,2.0,0.0,350,0.981,0,0,1,0
112,5.0,5.0,0.0,239,0.9808272727272728,1,0,0,0
113,4.0,4.0,0.0,350,0.9806545454545454,0,0,1,0
114,2.0,2.0,0.0,350,0.9804818181818182,0,0,1,0
115,2.0,2.0,0.0,350,0.9803090909090909,0,0,1,0
116,2.0,2.0,0.0,350,0.9801363636363636,0,0,1,0
117,3.0,3.0,0.0,350,0.9799636363636364,0,0,1,0
