episode,environment_return,learning_return,intrinsic_return,steps,epsilon,success,died,truncated,monster_moves
109,0.0,0.0,0.0,154,0.97948,0,1,0,0
110,0.0,0.0,0.0,22,0.97929,0,1,0,0
111,0.0,0.0,0.0,85,0.9791,0,1,0,0
112,0.0,0.0,0.0,77,0.97891,0,1,0,0
113,1.0,1.0,0.0,164,0.97872,1,0,0,0
114,0.0,0.0,0.0,126,0.97853,0,1,0,0
115,0.0,0.0,0.0,20,0.97834,0,1,0,0
116,0.0,0.0,0.0,35,0.97815,0,1,0,0
117,0.0,0.0,0.0,178,0.97796,0,1,0,0
118,0.0,0.0,0.0,129,0.97777,0,1,0,0
119,0.0,0.0,0.0,46,0.97758,0,1,0,0
120,0.0,0.0,0.0,105,0.97739,0,1,0,0
121,0.0,0.0,0.0,41,0.9772,0,1,0,0
122,0.0,0.0,0.0,350,0.97701,0,0,1,0
123,0.0,0.0,0.0,42,0.97682,0,1,0,0
124,0.0,0.0,0.0,20,0.97663,0,1,0,0
125,0.0,0.0,0.0,152,0.97644,0,1,0,0
126,0.0,0.0,0.0,83,0.97625,0,1,0,0
127,0.0,0.0,0.0,136,0.97606,0,1,0,0
128,0.0,0.0,0.0,139,0.97587,0,1,0,0
129,0.0,0.0,0.0,165,0.97568,0,1,0,0
130,0.0,0.0,0.0,102,0.97549,0,1,0,0
131,0.0,0.0,0.0,69,0.9753000000000001,0,1,0,0
132,0.0,0.0,0.0,82,0.97511,0,1,0,0
133,0.0,0.0,0.0,31,0.97492,0,1,0,0
134,0.0,0.0,0.0,38,0.97473,0,1,0,0
135,0.0,0.0,0.0,91,0.97454,0,1,0,0
136,0.0,0.0,0.0,62,0.97435,0,1,0,0
137,0.0,0.0,0.0,190,0.97416,0,1,0,0
138,0.0,0.0,0.0,58,0.97397,0,1,0,0
139,0.0,0.0,0.0,20,0.97378,0,1,0,0
140,0.0,0.0,0.0,180,0.97359,0,1,0,0
141,0.0,0.0,0.0,14,0.9734,0,1,0,0
142,0.0,0.0,0.0,107,0.97321,0,1,0,0
143,0.0,0.0,0.0,78,0.97302,0,1,0,0
144,0.0,0.0,0.0,77,0.97283,0,1,0,0
145,1.0,1.0,0.0,66,0.97264,1,0,0,0
146,0.0,0.0,0.0,85,0.97245,0,1,0,0
147,0.0,0.0,0.0,164,0.97226,0,1,0,0
148,0.0,0.0,0.0,43,0.97207,0,1,0,0
149,0.0,0.0,0.0,147,0.97188,0,1,0,0
150,0.0,0.0,0.0,61,0.97169,0,1,0,0
151,0.0,0.0,0.0,26,0.9715,0,1,0,0
152,0.0,0.0,0.0,16,0.97131,0,1,0,0
153,0.0,0.0,0.0,61,0.97112,0,1,0,0
154,0.0,0.0,0.0,106,0.97093,0,1,0,0
155,0.0,0.0,0.0,41,0.97074,0,1,0,0
156,0.0,0.0,0.0,54,0.97055,0,1,0,0
157,0.0,0.0,0.0,164,0.97036,0,1,0,0
158,0.0,0.0,0.0,46,0.97017,0,1,0,0
159,0.0,0.0,0.0,69,0.96998,0,1,0,0
160,0.0,0.0,0.0,150,0.96979,0,1,0,0
161,0.0,0.0,0.0,73,0.9696,0,1,0,0
162,0.0,0.0,0.0,18,0.96941,0,1,0,0
163,0.0,0.0,0.0,21,0.96922,0,1,0,0
164,0.0,0.0,0.0,165,0.9690300000000001,0,1,0,0
165,1.0,1.0,0.0,89,0.96884,1,0,0,0
166,0.0,0.0,0.0,50,0.96865,0,1,0,0
167,0.0,0.0,0.0,33,0.96846,0,1,0,0
168,0.0,0.0,0.0,49,0.96827,0,1,0,0
169,1.0,1.0,0.0,60,0.96808,1,0,0,0
170,0.0,0.0,0.0,106,0.96789,0,1,0,0
171,0.0,0.0,0.0,96,0.9677,0,1,0,0
172,0.0,0.0,0.0,192,0.96751,0,1,0,0
173,0.0,0.0,0.0,53,0.96732,0,1,0,0
174,0.0,0.0,0.0,292,0.96713,0,1,0,0
175,0.0,0.0,0.0,94,0.96694,0,1,0,0
176,0.0,0.0,0.0,116,0.96675,0,1,0,0
177,0.0,0.0,0.0,136,0.96656,0,1,0,0
178,0.0,0.0,0.0,50,0.96637,0,1,0,0
179,0.0,0.0,0.0,55,0.96618,0,1,0,0
180,0.0,0.0,0.0,27,0.96599,0,1,0,0
181,0.0,0.0,0.0,24,0.9658,0,1,0,0
182,0.0,0.0,0.0,151,0.96561,0,1,0,0
183,0.0,0.0,0.0,114,0.96542,0,1,0,0
184,0.0,0.0,0.0,97,0.96523,0,1,0,0
185,0.0,0.0,0.0,52,0.96504,0,1,0,0
186,0.0,0.0,0.0,178,0.96485,0,1,0,0
187,0.0,0.0,0.0,42,0.96466,0,1,0,0
188,0.0,0.0,0.0,96,0.96447,0,1,0,0
189,0.0,0.0,0.0,97,0.96428,0,1,0,0
190,0.0,0.0,0.0,350,0.96409,0,0,1,0
191,0.0,0.0,0.0,71,0.9639,0,1,0,0
192,0.0,0.0,0.0,47,0.96371,0,1,0,0
193,0.0,0.0,0.0,141,0.96352,0,1,0,0
194,0.0,0.0,0.0,38,0.96333,0,1,0,0
195,0.0,0.0,0.0,67,0.96314,0,1,0,0
196,0.0,0.0,0.0,39,0.96295,0,1,0,0
197,0.0,0.0,0.0,56,0.9627600000000001,0,1,0,0
198,0.0,0.0,0.0,159,0.96257,0,1,0,0
199,0.0,0.0,0.0,55,0.96238,0,1,0,0
200,0.0,0.0,0.0,94,0.96219,0,1,0,0
201,0.0,0.0,0.0,81,0.962,0,1,0,0
202,0.0,0.0,0.0,84,0.96181,0,1,0,0
203,0.0,0.0,0.0,87,0.96162,0,1,0,0
204,0.0,0.0,0.0,36,0.96143,0,1,0,0
205,0.0,0.0,0.0,77,0.96124,0,1,0,0
206,0.0,0.0,0.0,15,0.96105,0,1,0,0
207,0.0,0.0,0.0,42,0.96086,0,1,0,0
208,0.0,0.0,0.0,54,0.96067,0,1,0,0
209,0.0,0.0,0.0,26,0.96048,0,1,0,0
210,0.0,0.0,0.0,81,0.96029,0,1,0,0
211,0.0,0.0,0.0,23,0.9601,0,1,0,0
