#{"t_start": 1789297474.381331, "env_id": "None"}
r,l,t,episode_max_phase,episode_phases_advanced,episode_enemies_destroyed,episode_spawners_destroyed,episode_shots_fired,episode_damage_dealt,episode_damage_taken,is_success
-38.847101,256,0.741976,1,0,1,0,25,20.0,100.0,False
-41.170872,226,1.347105,1,0,0,0,23,0.0,100.0,False
-34.110126,259,1.834311,1,0,3,0,23,60.0,100.0,False
-41.423117,229,2.293328,1,0,0,0,26,0.0,100.0,False
-37.388919,241,3.694637,1,0,1,0,22,40.0,100.0,False
-38.366076,236,4.157521,1,0,1,0,25,20.0,100.0,False
-26.059153,390,5.05302,1,0,2,1,40,90.0,100.0,False
-38.343193,248,6.432405,1,0,1,0,23,30.0,100.0,False
-40.627724,216,6.828512,1,0,0,0,19,10.0,100.0,False
-35.584563,294,7.533264,1,0,2,0,28,60.0,100.0,False
-38.384639,241,8.178735,1,0,1,0,18,20.0,100.0,False
-33.423258,284,9.734435,1,0,3,0,27,80.0,100.0,False
-31.024368,339,10.434638,1,0,4,0,32,110.0,100.0,False
-35.669984,230,11.188612,1,0,2,0,23,50.0,100.0,False
-32.07828,326,11.934956,1,0,3,0,31,100.0,100.0,False
-38.146423,261,13.262478,1,0,1,0,23,30.0,100.0,False
-37.947984,217,13.658541,1,0,1,0,19,30.0,100.0,False
-25.481445,339,14.563906,1,0,2,1,31,90.0,100.0,False
-34.190695,281,15.248883,1,0,3,0,25,70.0,100.0,False
-36.854966,278,16.6665,1,0,2,0,29,40.0,100.0,False
-34.142678,318,17.389551,1,0,3,0,31,60.0,100.0,False
-34.135442,228,17.969442,1,0,3,0,20,60.0,100.0,False
-21.689629,337,19.570252,1,0,4,1,36,130.0,100.0,False
-23.403465,346,20.339978,1,0,3,1,35,110.0,100.0,False
-21.521872,312,21.087401,1,0,4,1,32,130.0,100.0,False
-23.643438,345,22.566356,1,0,3,1,36,110.0,100.0,False
-20.845873,371,23.242645,1,0,4,1,40,130.0,100.0,False
-21.314432,333,24.138859,1,0,4,1,34,130.0,100.0,False
-29.151292,286,25.799711,1,0,4,0,28,120.0,100.0,False
-22.728208,308,26.403087,1,0,3,1,30,110.0,100.0,False
-18.440082,334,27.242995,1,0,5,1,32,160.0,100.0,False
-25.496037,344,28.788785,1,0,2,1,37,90.0,100.0,False
-29.65478,336,29.49924,1,0,4,0,34,120.0,100.0,False
-23.279377,330,30.444542,1,0,3,1,32,110.0,100.0,False
-22.934778,326,32.133894,1,0,3,1,35,110.0,100.0,False
-23.205994,334,32.884015,1,0,3,1,32,110.0,100.0,False
-20.286619,341,33.779603,1,0,4,1,35,140.0,100.0,False
-22.199453,345,35.598895,1,0,3,1,35,110.0,100.0,False
-20.683707,310,36.401478,1,0,4,1,32,130.0,100.0,False
-20.782279,308,37.170609,1,0,4,1,30,130.0,100.0,False
-23.359224,333,37.970149,1,0,3,1,33,110.0,100.0,False
-25.023664,287,40.405663,1,0,2,1,31,90.0,100.0,False
-23.319225,345,41.396608,1,0,3,1,34,110.0,100.0,False
-22.917297,313,41.992502,1,0,3,1,30,110.0,100.0,False
