episode,return,steps,epsilon,died
72,0.0,53,0.9036428571428572,1
73,0.0,46,0.9022857142857142,1
74,0.0,336,0.9009285714285714,1
75,0.0,70,0.8995714285714286,1
76,0.0,56,0.8982142857142857,1
77,0.0,30,0.8968571428571429,1
78,0.0,68,0.8955,1
79,0.0,309,0.8941428571428571,1
80,0.0,27,0.8927857142857143,1
81,0.0,71,0.8914285714285715,1
82,0.0,26,0.8900714285714286,1
83,0.0,119,0.8887142857142857,1
84,0.0,132,0.8873571428571428,1
85,0.0,10,0.886,1
86,0.0,38,0.8846428571428572,1
87,0.0,20,0.8832857142857142,1
88,0.0,37,0.8819285714285714,1
89,0.0,241,0.8805714285714286,1
90,0.0,225,0.8792142857142857,1
91,0.0,266,0.8778571428571429,1
92,0.0,284,0.8765000000000001,1
93,0.0,92,0.8751428571428571,1
94,0.0,37,0.8737857142857143,1
95,0.0,91,0.8724285714285714,1
96,0.0,17,0.8710714285714286,1
97,0.0,256,0.8697142857142857,1
98,0.0,72,0.8683571428571428,1
99,0.0,22,0.867,1
100,0.0,31,0.8656428571428572,1
101,0.0,72,0.8642857142857143,1
102,0.0,47,0.8629285714285715,1
103,0.0,35,0.8615714285714285,1
104,0.0,68,0.8602142857142857,1
105,0.0,268,0.8588571428571429,1
106,0.0,10,0.8575,1
107,0.0,32,0.8561428571428571,1
108,0.0,73,0.8547857142857143,1
109,0.0,18,0.8534285714285714,1
110,0.0,34,0.8520714285714286,1
111,0.0,36,0.8507142857142858,1
112,0.0,42,0.8493571428571429,1
113,0.0,44,0.848,1
114,0.0,41,0.8466428571428571,1
115,0.0,111,0.8452857142857143,1
116,0.0,134,0.8439285714285715,1
117,0.0,400,0.8425714285714285,0
118,0.0,119,0.8412142857142857,1
119,0.0,118,0.8398571428571429,1
120,0.0,25,0.8385,1
121,0.0,37,0.8371428571428572,1
122,0.0,195,0.8357857142857144,1
123,0.0,39,0.8344285714285714,1
124,0.0,103,0.8330714285714286,1
125,0.0,110,0.8317142857142857,1
126,0.0,49,0.8303571428571428,1
127,0.0,14,0.829,1
128,0.0,62,0.8276428571428571,1
129,0.0,9,0.8262857142857143,1
130,0.0,85,0.8249285714285715,1
131,0.0,59,0.8235714285714286,1
132,0.0,43,0.8222142857142858,1
133,0.0,93,0.8208571428571428,1
134,0.0,21,0.8195,1
135,0.0,48,0.8181428571428572,1
136,0.0,32,0.8167857142857142,1
137,1.0,45,0.8154285714285714,0
138,0.0,118,0.8140714285714286,1
139,0.0,37,0.8127142857142857,1
140,0.0,54,0.8113571428571429,1
141,0.0,29,0.81,1
142,0.0,26,0.8086428571428572,1
143,0.0,81,0.8072857142857143,1
144,0.0,96,0.8059285714285714,1
145,0.0,64,0.8045714285714286,1
146,0.0,150,0.8032142857142857,1
147,0.0,33,0.8018571428571428,1
148,0.0,77,0.8005,1
149,0.0,38,0.7991428571428572,1
150,0.0,31,0.7977857142857143,1
151,0.0,124,0.7964285714285715,1
152,0.0,231,0.7950714285714285,1
153,0.0,60,0.7937142857142857,1
154,0.0,30,0.7923571428571429,1
155,0.0,195,0.791,1
156,0.0,122,0.7896428571428572,1
157,0.0,23,0.7882857142857143,1
158,0.0,207,0.7869285714285714,1
159,0.0,18,0.7855714285714286,1
160,0.0,83,0.7842142857142858,1
161,0.0,80,0.7828571428571429,1
162,0.0,15,0.7815,1
163,0.0,68,0.7801428571428571,1
164,0.0,76,0.7787857142857143,1
165,0.0,63,0.7774285714285715,1
166,0.0,15,0.7760714285714285,1
167,0.0,155,0.7747142857142857,1
168,0.0,13,0.7733571428571429,1
169,0.0,104,0.772,1
170,0.0,16,0.7706428571428572,1
171,0.0,76,0.7692857142857144,1
172,0.0,294,0.7679285714285715,1
173,1.0,132,0.7665714285714286,0
174,0.0,72,0.7652142857142857,1
175,0.0,12,0.7638571428571428,1
176,0.0,83,0.7625,1
177,0.0,120,0.7611428571428571,1
178,0.0,45,0.7597857142857143,1
179,0.0,61,0.7584285714285715,1
180,0.0,17,0.7570714285714286,1
181,0.0,279,0.7557142857142858,1
182,0.0,22,0.7543571428571428,1
183,0.0,34,0.753,1
184,1.0,134,0.7516428571428572,0
185,0.0,68,0.7502857142857143,1
186,0.0,25,0.7489285714285714,1
187,0.0,50,0.7475714285714286,1
188,0.0,61,0.7462142857142857,1
189,0.0,13,0.7448571428571429,1
190,0.0,232,0.7435,1
191,0.0,112,0.7421428571428572,1
192,0.0,69,0.7407857142857144,1
193,0.0,33,0.7394285714285714,1
194,0.0,189,0.7380714285714286,1
195,0.0,111,0.7367142857142857,1
196,1.0,235,0.7353571428571428,0
197,1.0,120,0.734,0
198,0.0,40,0.7326428571428572,1
199,0.0,226,0.7312857142857143,1
200,0.0,165,0.7299285714285715,1
201,0.0,41,0.7285714285714286,1
202,0.0,148,0.7272142857142857,1
203,0.0,400,0.7258571428571429,0
204,0.0,201,0.7245,1
205,0.0,236,0.7231428571428571,1
206,0.0,43,0.7217857142857143,1
207,0.0,104,0.7204285714285714,1
208,0.0,129,0.7190714285714286,1
209,0.0,40,0.7177142857142857,1
210,0.0,136,0.7163571428571429,1
211,0.0,27,0.7150000000000001,1
212,0.0,65,0.7136428571428571,1
213,0.0,104,0.7122857142857143,1
214,0.0,34,0.7109285714285715,1
215,0.0,252,0.7095714285714285,1
216,0.0,61,0.7082142857142857,1
217,0.0,14,0.7068571428571429,1
218,0.0,23,0.7055,1
219,0.0,39,0.7041428571428572,1
220,0.0,13,0.7027857142857143,1
221,0.0,27,0.7014285714285715,1
222,1.0,241,0.7000714285714286,0
223,0.0,126,0.6987142857142857,1
224,0.0,32,0.6973571428571429,1
225,0.0,33,0.696,1
226,0.0,19,0.6946428571428571,1
227,0.0,72,0.6932857142857143,1
228,0.0,9,0.6919285714285714,1
229,0.0,27,0.6905714285714286,1
230,0.0,33,0.6892142857142858,1
231,1.0,129,0.687857142857143,0
232,1.0,69,0.6865,0
233,0.0,23,0.6851428571428572,1
234,0.0,115,0.6837857142857143,1
235,0.0,27,0.6824285714285714,1
236,0.0,34,0.6810714285714285,1
237,0.0,91,0.6797142857142857,1
238,0.0,102,0.6783571428571429,1
239,0.0,93,0.677,1
240,0.0,35,0.6756428571428572,1
241,0.0,42,0.6742857142857144,1
242,0.0,28,0.6729285714285714,1
243,0.0,70,0.6715714285714286,1
