episode,return,steps,epsilon,died
1,3.0,400,1.0,0
2,4.0,400,0.9986428571428572,0
3,3.0,400,0.9972857142857143,0
4,2.0,400,0.9959285714285714,0
5,6.0,348,0.9945714285714286,0
6,0.0,400,0.9932142857142857,0
7,6.0,150,0.9918571428571429,0
8,1.0,400,0.9905,0
9,3.0,400,0.9891428571428571,0
10,1.0,400,0.9877857142857143,0
11,5.0,400,0.9864285714285714,0
12,5.0,400,0.9850714285714286,0
13,6.0,350,0.9837142857142858,0
14,1.0,400,0.9823571428571428,0
15,5.0,400,0.981,0
16,6.0,253,0.9796428571428571,0
17,6.0,304,0.9782857142857143,0
18,5.0,400,0.9769285714285715,0
19,5.0,400,0.9755714285714285,0
20,3.0,400,0.9742142857142857,0
21,6.0,250,0.9728571428571429,0
22,5.0,400,0.9715,0
23,5.0,400,0.9701428571428572,0
24,5.0,400,0.9687857142857143,0
25,6.0,135,0.9674285714285714,0
26,4.0,400,0.9660714285714286,0
27,5.0,400,0.9647142857142857,0
28,5.0,400,0.9633571428571429,0
29,4.0,400,0.962,0
30,2.0,400,0.9606428571428571,0
31,5.0,400,0.9592857142857143,0
32,6.0,292,0.9579285714285715,0
33,4.0,400,0.9565714285714286,0
34,6.0,208,0.9552142857142857,0
35,5.0,400,0.9538571428571428,0
36,6.0,211,0.9525,0
37,5.0,400,0.9511428571428572,0
38,4.0,400,0.9497857142857142,0
39,6.0,128,0.9484285714285714,0
40,6.0,145,0.9470714285714286,0
41,6.0,394,0.9457142857142857,0
42,6.0,140,0.9443571428571429,0
43,6.0,219,0.9430000000000001,0
44,6.0,294,0.9416428571428571,0
45,6.0,382,0.9402857142857143,0
46,6.0,297,0.9389285714285714,0
47,6.0,231,0.9375714285714286,0
48,6.0,107,0.9362142857142857,0
49,6.0,319,0.9348571428571428,0
50,6.0,83,0.9335,0
51,6.0,226,0.9321428571428572,0
52,5.0,400,0.9307857142857143,0
53,5.0,400,0.9294285714285714,0
54,6.0,159,0.9280714285714285,0
55,6.0,382,0.9267142857142857,0
56,5.0,400,0.9253571428571429,0
57,5.0,400,0.924,0
58,5.0,400,0.9226428571428571,0
59,5.0,400,0.9212857142857143,0
60,5.0,400,0.9199285714285714,0
61,6.0,218,0.9185714285714286,0
62,4.0,400,0.9172142857142858,0
63,6.0,270,0.9158571428571429,0
64,6.0,247,0.9145,0
65,5.0,400,0.9131428571428571,0
66,6.0,395,0.9117857142857143,0
67,6.0,210,0.9104285714285714,0
68,6.0,77,0.9090714285714285,0
69,6.0,371,0.9077142857142857,0
70,6.0,218,0.9063571428571429,0
71,6.0,330,0.905,0
72,6.0,369,0.9036428571428572,0
73,6.0,155,0.9022857142857142,0
74,4.0,400,0.9009285714285714,0
75,6.0,307,0.8995714285714286,0
76,6.0,163,0.8982142857142857,0
77,6.0,181,0.8968571428571429,0
78,4.0,400,0.8955,0
79,6.0,110,0.8941428571428571,0
80,4.0,400,0.8927857142857143,0
81,6.0,314,0.8914285714285715,0
82,6.0,171,0.8900714285714286,0
83,6.0,82,0.8887142857142857,0
84,4.0,400,0.8873571428571428,0
85,5.0,400,0.886,0
86,6.0,283,0.8846428571428572,0
87,6.0,143,0.8832857142857142,0
88,4.0,400,0.8819285714285714,0
89,6.0,265,0.8805714285714286,0
90,5.0,400,0.8792142857142857,0
91,1.0,400,0.8778571428571429,0
92,6.0,136,0.8765000000000001,0
93,6.0,253,0.8751428571428571,0
94,6.0,194,0.8737857142857143,0
95,6.0,334,0.8724285714285714,0
96,4.0,400,0.8710714285714286,0
97,6.0,144,0.8697142857142857,0
98,6.0,196,0.8683571428571428,0
99,6.0,158,0.867,0
100,6.0,346,0.8656428571428572,0
101,6.0,297,0.8642857142857143,0
102,6.0,161,0.8629285714285715,0
103,6.0,183,0.8615714285714285,0
104,6.0,139,0.8602142857142857,0
105,6.0,283,0.8588571428571429,0
106,6.0,257,0.8575,0
107,6.0,94,0.8561428571428571,0
108,6.0,296,0.8547857142857143,0
109,6.0,77,0.8534285714285714,0
110,6.0,108,0.8520714285714286,0
111,6.0,342,0.8507142857142858,0
112,6.0,175,0.8493571428571429,0
113,6.0,63,0.848,0
114,6.0,270,0.8466428571428571,0
115,6.0,48,0.8452857142857143,0
116,6.0,228,0.8439285714285715,0
117,5.0,400,0.8425714285714285,0
118,6.0,142,0.8412142857142857,0
119,6.0,113,0.8398571428571429,0
120,6.0,43,0.8385,0
121,6.0,237,0.8371428571428572,0
122,6.0,399,0.8357857142857144,0
123,6.0,146,0.8344285714285714,0
124,6.0,54,0.8330714285714286,0
125,6.0,86,0.8317142857142857,0
126,6.0,312,0.8303571428571428,0
127,6.0,58,0.829,0
128,6.0,73,0.8276428571428571,0
129,6.0,232,0.8262857142857143,0
130,6.0,183,0.8249285714285715,0
131,6.0,106,0.8235714285714286,0
132,6.0,173,0.8222142857142858,0
133,6.0,95,0.8208571428571428,0
134,6.0,54,0.8195,0
135,6.0,30,0.8181428571428572,0
136,6.0,186,0.8167857142857142,0
137,6.0,118,0.8154285714285714,0
138,6.0,104,0.8140714285714286,0
139,6.0,192,0.8127142857142857,0
140,6.0,87,0.8113571428571429,0
141,6.0,89,0.81,0
142,6.0,259,0.8086428571428572,0
143,3.0,400,0.8072857142857143,0
144,6.0,131,0.8059285714285714,0
145,6.0,328,0.8045714285714286,0
146,6.0,178,0.8032142857142857,0
147,6.0,227,0.8018571428571428,0
148,6.0,74,0.8005,0
149,6.0,127,0.7991428571428572,0
150,6.0,111,0.7977857142857143,0
151,6.0,147,0.7964285714285715,0
152,6.0,133,0.7950714285714285,0
153,6.0,122,0.7937142857142857,0
154,3.0,400,0.7923571428571429,0
155,6.0,149,0.791,0
156,6.0,91,0.7896428571428572,0
157,6.0,55,0.7882857142857143,0
158,6.0,137,0.7869285714285714,0
159,6.0,209,0.7855714285714286,0
160,6.0,108,0.7842142857142858,0
161,6.0,90,0.7828571428571429,0
162,6.0,186,0.7815,0
163,6.0,136,0.7801428571428571,0
164,6.0,328,0.7787857142857143,0
165,6.0,287,0.7774285714285715,0
166,6.0,135,0.7760714285714285,0
167,6.0,71,0.7747142857142857,0
168,6.0,86,0.7733571428571429,0
169,6.0,117,0.772,0
170,6.0,86,0.7706428571428572,0
171,6.0,102,0.7692857142857144,0
172,6.0,169,0.7679285714285715,0
173,6.0,59,0.7665714285714286,0
174,6.0,150,0.7652142857142857,0
175,6.0,98,0.7638571428571428,0
176,6.0,394,0.7625,0
177,6.0,267,0.7611428571428571,0
178,6.0,67,0.7597857142857143,0
179,6.0,274,0.7584285714285715,0
180,6.0,60,0.7570714285714286,0
181,6.0,106,0.7557142857142858,0
182,6.0,148,0.7543571428571428,0
183,6.0,153,0.753,0
184,6.0,119,0.7516428571428572,0
185,6.0,99,0.7502857142857143,0
186,6.0,51,0.7489285714285714,0
187,6.0,205,0.7475714285714286,0
188,6.0,198,0.7462142857142857,0
189,6.0,107,0.7448571428571429,0
190,6.0,171,0.7435,0
191,6.0,81,0.7421428571428572,0
192,6.0,129,0.7407857142857144,0
193,6.0,119,0.7394285714285714,0
194,6.0,244,0.7380714285714286,0
195,6.0,63,0.7367142857142857,0
196,6.0,65,0.7353571428571428,0
197,6.0,30,0.734,0
198,6.0,78,0.7326428571428572,0
199,6.0,196,0.7312857142857143,0
200,6.0,51,0.7299285714285715,0
201,6.0,110,0.7285714285714286,0
202,6.0,136,0.7272142857142857,0
203,6.0,47,0.7258571428571429,0
204,6.0,55,0.7245,0
205,6.0,65,0.7231428571428571,0
206,6.0,123,0.7217857142857143,0
207,6.0,60,0.7204285714285714,0
208,6.0,44,0.7190714285714286,0
209,6.0,91,0.7177142857142857,0
210,6.0,63,0.7163571428571429,0
211,6.0,75,0.7150000000000001,0
212,6.0,181,0.7136428571428571,0
213,6.0,95,0.7122857142857143,0
214,6.0,65,0.7109285714285715,0
215,6.0,124,0.7095714285714285,0
216,6.0,86,0.7082142857142857,0
217,6.0,47,0.7068571428571429,0
218,6.0,67,0.7055,0
219,6.0,35,0.7041428571428572,0
220,6.0,70,0.7027857142857143,0
221,6.0,97,0.7014285714285715,0
222,6.0,111,0.7000714285714286,0
223,6.0,129,0.6987142857142857,0
224,6.0,67,0.6973571428571429,0
225,6.0,146,0.696,0
226,6.0,151,0.6946428571428571,0
227,6.0,51,0.6932857142857143,0
228,6.0,50,0.6919285714285714,0
229,6.0,87,0.6905714285714286,0
230,6.0,91,0.6892142857142858,0
231,6.0,65,0.687857142857143,0
232,6.0,39,0.6865,0
233,6.0,115,0.6851428571428572,0
234,6.0,36,0.6837857142857143,0
235,6.0,36,0.6824285714285714,0
236,6.0,35,0.6810714285714285,0
237,6.0,111,0.6797142857142857,0
238,6.0,80,0.6783571428571429,0
239,6.0,88,0.677,0
240,6.0,38,0.6756428571428572,0
241,6.0,98,0.6742857142857144,0
242,6.0,79,0.6729285714285714,0
243,6.0,72,0.6715714285714286,0
244,6.0,39,0.6702142857142857,0
245,6.0,129,0.6688571428571428,0
246,6.0,104,0.6675,0
247,6.0,87,0.6661428571428571,0
248,6.0,47,0.6647857142857143,0
249,6.0,82,0.6634285714285715,0
250,6.0,159,0.6620714285714286,0
251,6.0,79,0.6607142857142857,0
252,6.0,126,0.6593571428571429,0
253,6.0,93,0.658,0
254,6.0,57,0.6566428571428571,0
255,6.0,29,0.6552857142857142,0
256,6.0,61,0.6539285714285714,0
257,6.0,44,0.6525714285714286,0
258,6.0,94,0.6512142857142857,0
259,6.0,57,0.6498571428571429,0
260,6.0,106,0.6485000000000001,0
261,6.0,63,0.6471428571428571,0
262,6.0,40,0.6457857142857144,0
263,6.0,55,0.6444285714285715,0
264,6.0,76,0.6430714285714285,0
265,6.0,172,0.6417142857142857,0
266,6.0,39,0.6403571428571428,0
267,6.0,35,0.639,0
268,6.0,58,0.6376428571428572,0
269,6.0,56,0.6362857142857143,0
270,6.0,72,0.6349285714285715,0
271,6.0,52,0.6335714285714286,0
272,6.0,189,0.6322142857142857,0
273,6.0,74,0.6308571428571429,0
274,6.0,107,0.6295,0
275,6.0,83,0.6281428571428571,0
276,6.0,71,0.6267857142857143,0
277,6.0,50,0.6254285714285714,0
278,6.0,62,0.6240714285714286,0
279,6.0,51,0.6227142857142858,0
280,6.0,35,0.6213571428571429,0
281,6.0,55,0.62,0
282,6.0,35,0.6186428571428572,0
283,6.0,26,0.6172857142857143,0
284,6.0,56,0.6159285714285714,0
285,6.0,38,0.6145714285714285,0
286,6.0,50,0.6132142857142857,0
287,6.0,38,0.6118571428571429,0
288,6.0,50,0.6105,0
289,6.0,50,0.6091428571428572,0
290,6.0,34,0.6077857142857144,0
291,6.0,33,0.6064285714285714,0
292,6.0,36,0.6050714285714286,0
293,6.0,47,0.6037142857142856,0
294,6.0,43,0.6023571428571428,0
295,6.0,49,0.601,0
296,6.0,63,0.5996428571428571,0
297,6.0,89,0.5982857142857143,0
298,6.0,80,0.5969285714285715,0
299,6.0,50,0.5955714285714286,0
300,6.0,46,0.5942142857142857,0
301,6.0,64,0.592857142857143,0
302,6.0,53,0.5915,0
303,6.0,63,0.5901428571428571,0
304,6.0,40,0.5887857142857142,0
305,6.0,60,0.5874285714285714,0
306,6.0,61,0.5860714285714286,0
307,6.0,46,0.5847142857142857,0
308,6.0,42,0.5833571428571429,0
309,6.0,70,0.5820000000000001,0
310,6.0,62,0.5806428571428571,0
311,6.0,43,0.5792857142857144,0
312,6.0,64,0.5779285714285715,0
313,6.0,42,0.5765714285714285,0
314,6.0,59,0.5752142857142857,0
315,6.0,44,0.5738571428571428,0
316,6.0,40,0.5725,0
317,6.0,49,0.5711428571428572,0
318,6.0,37,0.5697857142857143,0
319,6.0,34,0.5684285714285715,0
320,6.0,80,0.5670714285714286,0
321,6.0,39,0.5657142857142857,0
322,6.0,48,0.5643571428571429,0
323,6.0,43,0.563,0
324,6.0,25,0.5616428571428571,0
325,6.0,44,0.5602857142857143,0
326,6.0,23,0.5589285714285714,0
327,6.0,25,0.5575714285714286,0
328,6.0,41,0.5562142857142858,0
329,6.0,45,0.5548571428571429,0
330,6.0,56,0.5535000000000001,0
331,6.0,35,0.5521428571428572,0
332,6.0,60,0.5507857142857143,0
333,6.0,35,0.5494285714285714,0
334,6.0,29,0.5480714285714285,0
