#{"t_start": 1789301200.7768645, "env_id": "None"}
r,l,t,episode_max_phase,episode_phases_advanced,episode_enemies_destroyed,episode_spawners_destroyed,episode_shots_fired,episode_damage_dealt,episode_damage_taken,is_success
-41.222933,216,1.387552,1,0,0,0,20,0.0,100.0,False
-42.063219,263,1.994935,1,0,0,0,21,0.0,100.0,False
-42.001278,249,2.501659,1,0,0,0,23,0.0,100.0,False
-42.120625,266,3.039584,1,0,0,0,25,0.0,100.0,False
-41.624947,254,3.730858,1,0,0,0,25,0.0,100.0,False
-41.110205,248,4.368751,1,0,0,0,24,0.0,100.0,False
-41.573184,263,4.856727,1,0,0,0,23,0.0,100.0,False
-40.956136,256,5.329451,1,0,1,0,25,20.0,100.0,False
-40.45665,198,7.74455,1,0,0,0,19,10.0,100.0,False
-39.829645,286,8.432895,1,0,2,0,27,40.0,100.0,False
-35.798485,298,8.997401,1,0,3,0,30,100.0,100.0,False
-37.64547,331,9.60107,1,0,2,0,31,70.0,100.0,False
-42.26393,260,10.172123,1,0,0,0,23,0.0,100.0,False
-39.316397,263,10.838947,1,0,2,0,26,40.0,100.0,False
-41.517336,218,11.264816,1,0,0,0,24,0.0,100.0,False
-41.426266,217,11.688844,1,0,0,0,21,0.0,100.0,False
-41.644144,247,14.065984,1,0,0,0,21,0.0,100.0,False
-41.183773,228,14.656645,1,0,0,0,17,0.0,100.0,False
-41.720913,224,15.155357,1,0,0,0,23,0.0,100.0,False
-38.616991,214,15.564941,1,0,1,0,21,40.0,100.0,False
-41.31709,262,16.14069,1,0,0,0,30,0.0,100.0,False
-41.360106,221,16.592014,1,0,0,0,21,0.0,100.0,False
-40.884528,245,17.193071,1,0,0,0,20,0.0,100.0,False
-38.083495,312,17.772433,1,0,2,0,26,60.0,100.0,False
-41.115958,234,20.082063,1,0,0,0,20,0.0,100.0,False
-41.277707,255,20.750469,1,0,0,0,20,0.0,100.0,False
-38.846556,311,21.48315,1,0,1,0,30,50.0,100.0,False
-37.914518,353,22.184147,1,0,4,0,33,90.0,100.0,False
-23.259074,383,23.086985,1,0,3,1,35,110.0,100.0,False
-40.615125,210,23.545755,1,0,0,0,23,10.0,100.0,False
-40.904535,232,24.063613,1,0,0,0,20,0.0,100.0,False
-42.216254,257,26.200024,1,0,0,0,24,0.0,100.0,False
-39.507319,265,26.803305,1,0,2,0,25,40.0,100.0,False
-39.975143,305,27.532475,1,0,2,0,30,40.0,100.0,False
-34.478932,292,28.062028,1,0,4,0,31,120.0,100.0,False
-36.833016,308,28.729912,1,0,3,0,26,80.0,100.0,False
-39.45293,305,29.448321,1,0,3,0,31,60.0,100.0,False
-38.731153,234,29.941162,1,0,2,0,23,50.0,100.0,False
-39.001492,284,32.280028,1,0,2,0,26,50.0,100.0,False
-22.284957,338,33.044008,1,0,3,1,34,110.0,100.0,False
-35.261666,363,33.806573,1,0,4,0,38,120.0,100.0,False
-23.326272,385,34.543993,1,0,3,1,42,110.0,100.0,False
-23.074321,450,35.470697,1,0,3,1,50,110.0,100.0,False
-23.146809,412,36.35004,1,0,3,1,43,110.0,100.0,False
-23.967484,403,39.792436,1,0,2,1,39,90.0,100.0,False
-23.749456,386,40.638233,1,0,3,1,43,110.0,100.0,False
-22.721377,387,41.534328,1,0,3,1,37,120.0,100.0,False
-22.731247,421,42.724683,1,0,3,1,40,110.0,100.0,False
-23.608703,351,43.373177,1,0,2,1,35,90.0,100.0,False
-25.01842,365,46.50245,1,0,1,1,36,70.0,100.0,False
-22.22682,337,47.37186,1,0,3,1,31,110.0,100.0,False
-23.793361,426,48.232026,1,0,3,1,43,110.0,100.0,False
-24.12076,410,49.263607,1,0,2,1,40,90.0,100.0,False
-22.6503,337,49.946877,1,0,2,1,33,100.0,100.0,False
-23.311225,409,52.677654,1,0,3,1,42,110.0,100.0,False
-22.434193,421,53.766815,1,0,3,1,40,110.0,100.0,False
-21.443126,424,54.547415,1,0,4,1,43,140.0,100.0,False
-22.768449,421,55.280276,1,0,2,1,41,100.0,100.0,False
-22.467712,389,56.139438,1,0,3,1,36,110.0,100.0,False
-22.026802,383,58.78434,1,0,3,1,38,120.0,100.0,False
-20.329647,354,59.59977,1,0,4,1,35,130.0,100.0,False
-21.682756,346,60.332621,1,0,3,1,35,120.0,100.0,False
-16.343577,530,61.330458,1,0,8,1,57,230.0,100.0,False
29.0027,680,62.797582,2,1,9,2,70,300.0,100.0,True
30.249491,785,66.373739,2,1,12,2,82,340.0,100.0,True
30.876903,636,67.52346,2,1,9,2,67,320.0,100.0,True
35.62308,1010,71.439041,2,1,14,2,100,440.0,100.0,True
32.848539,808,73.023798,2,1,12,2,82,400.0,100.0,True
32.36781,728,74.483713,2,1,10,2,76,350.0,100.0,True
-20.282574,413,77.362477,1,0,5,1,42,160.0,100.0,False
51.763665,928,80.287317,2,1,16,3,105,560.0,100.0,True
48.042316,682,81.691068,2,1,10,3,74,400.0,100.0,True
50.589848,937,85.824696,2,1,15,3,101,500.0,100.0,True
33.876633,796,87.376673,2,1,12,2,88,390.0,100.0,True
49.99133,763,90.744973,2,1,13,3,79,470.0,100.0,True
31.325413,537,91.877016,2,1,8,2,54,330.0,100.0,True
52.940968,926,93.737197,2,1,17,3,104,590.0,100.0,True
50.068803,726,97.196041,2,1,12,3,81,460.0,100.0,True
32.787497,646,98.38477,2,1,9,2,69,350.0,100.0,True
120.391354,1355,102.986648,3,2,22,5,154,810.0,100.0,True
102.590227,1083,105.154639,3,2,17,4,124,680.0,100.0,True
55.39198,992,109.28362,2,1,16,3,118,570.0,100.0,True
118.063526,1028,111.653337,3,2,16,5,109,690.0,100.0,True
97.301714,716,114.750023,3,2,13,4,84,560.0,100.0,True
32.313177,604,116.172098,2,1,9,2,70,330.0,100.0,True
47.068545,557,118.14378,2,1,8,3,65,360.0,100.0,True
31.044989,433,119.190442,2,1,5,2,48,260.0,100.0,True
48.965715,708,122.568638,2,1,10,3,77,420.0,100.0,True
47.126739,574,123.704874,2,1,10,3,66,380.0,100.0,True
97.144287,671,124.903785,3,2,12,4,80,500.0,100.0,True
100.00373,669,128.272617,3,2,11,4,78,530.0,100.0,True
47.578638,533,129.291031,2,1,7,3,66,350.0,100.0,True
-20.704287,261,129.777696,1,0,2,1,32,120.0,100.0,False
116.577556,764,131.250187,3,2,13,5,94,660.0,100.0,True
122.026971,965,135.081179,3,2,19,5,120,790.0,100.0,True
29.544663,394,135.824215,2,1,6,2,46,250.0,100.0,True
46.520679,506,136.626349,2,1,8,3,57,350.0,100.0,True
29.492174,397,137.42563,2,1,5,2,48,230.0,100.0,True
46.807877,497,140.250348,2,1,8,3,59,330.0,100.0,True
120.20139,857,141.931371,3,2,17,5,107,770.0,100.0,True
52.080688,513,142.988653,2,1,8,3,63,420.0,100.0,True
97.757628,503,145.854317,3,2,7,4,62,420.0,100.0,True
115.446388,648,147.248252,3,2,10,5,75,530.0,100.0,True
48.807823,534,148.341569,2,1,7,3,63,370.0,100.0,True
98.828492,581,149.449124,3,2,9,4,72,470.0,100.0,True
47.886059,519,152.328902,2,1,8,3,60,360.0,100.0,True
96.139297,635,155.444894,3,2,8,4,77,410.0,100.0,True
52.655633,587,156.691485,2,1,9,3,72,440.0,100.0,True
51.274131,503,159.561458,2,1,6,3,59,360.0,100.0,True
94.428631,464,160.561184,3,2,7,4,54,410.0,100.0,True
48.763908,494,161.341607,2,1,7,3,60,350.0,100.0,True
97.964606,528,162.251617,3,2,8,4,63,460.0,100.0,True
47.415059,401,163.0791,2,1,6,3,45,330.0,100.0,True
44.39267,359,165.653425,2,1,4,3,43,250.0,100.0,True
33.341869,408,166.442523,2,1,7,2,47,310.0,100.0,True
46.038208,448,167.207202,2,1,6,3,50,310.0,100.0,True
44.423127,377,167.784667,2,1,4,3,41,240.0,100.0,True
116.073894,640,170.901604,3,2,10,5,80,560.0,100.0,True
46.330264,378,171.863874,2,1,6,3,43,290.0,100.0,True
29.852782,315,172.445604,2,1,3,2,36,220.0,100.0,True
115.779158,699,173.784295,3,2,11,5,83,560.0,100.0,True
50.570889,458,174.661684,2,1,6,3,57,390.0,100.0,True
48.419398,419,177.362508,2,1,6,3,49,330.0,100.0,True
33.237484,456,178.353031,2,1,7,2,52,320.0,100.0,True
48.82209,480,179.297591,2,1,8,3,59,390.0,100.0,True
99.077052,449,180.282033,3,2,6,4,55,430.0,100.0,True
43.717519,383,182.871142,2,1,4,3,43,260.0,100.0,True
116.125681,627,184.275439,3,2,11,5,75,570.0,100.0,True
120.784063,733,185.659533,3,2,15,5,91,710.0,100.0,True
51.129375,472,186.547955,2,1,8,3,56,390.0,100.0,True
118.868022,692,190.178858,3,2,12,5,87,640.0,100.0,True
118.70096,728,195.239157,3,2,14,5,92,670.0,100.0,True
113.777499,569,196.464242,3,2,9,5,71,510.0,100.0,True
94.707063,441,199.435065,3,2,6,4,52,380.0,100.0,True
116.750151,716,200.807853,3,2,11,5,90,600.0,100.0,True
120.060686,704,202.031143,3,2,14,5,84,710.0,100.0,True
32.629063,399,204.550051,2,1,5,2,44,280.0,100.0,True
