#{"t_start": 1789175517.0312788, "env_id": "None"}
r,l,t,episode_max_phase,episode_phases_advanced,episode_enemies_destroyed,episode_spawners_destroyed,episode_shots_fired,episode_damage_dealt,episode_damage_taken,is_success
-38.352069,208,0.424725,1,0,1,0,15,30.0,100.0,False
-39.860189,226,0.950625,1,0,0,0,18,20.0,100.0,False
-39.648874,222,1.503973,1,0,0,0,17,30.0,100.0,False
-40.505706,204,1.95856,1,0,0,0,15,0.0,100.0,False
-39.971411,220,3.010562,1,0,0,0,18,10.0,100.0,False
-39.898504,213,3.560908,1,0,0,0,20,10.0,100.0,False
-38.363903,218,4.02686,1,0,1,0,14,20.0,100.0,False
-35.038221,246,4.584218,1,0,2,0,18,70.0,100.0,False
-40.467592,246,5.234673,1,0,0,0,18,10.0,100.0,False
-37.998023,209,6.332483,1,0,1,0,14,30.0,100.0,False
-36.009863,258,6.870714,1,0,2,0,25,60.0,100.0,False
-38.030398,215,7.372625,1,0,1,0,13,30.0,100.0,False
-38.511095,286,7.984188,1,0,1,0,22,30.0,100.0,False
-40.522124,269,9.274135,1,0,0,0,23,10.0,100.0,False
-38.69647,280,9.92868,1,0,1,0,25,30.0,100.0,False
-39.901457,272,10.596145,1,0,0,0,23,30.0,100.0,False
-38.508196,274,11.297989,1,0,1,0,27,30.0,100.0,False
-40.559757,253,12.543752,1,0,0,0,21,10.0,100.0,False
-38.383969,252,13.18595,1,0,1,0,26,40.0,100.0,False
-36.735604,267,13.868347,1,0,2,0,22,40.0,100.0,False
-38.462801,284,15.207648,1,0,1,0,25,40.0,100.0,False
-40.666789,263,15.922546,1,0,0,0,22,10.0,100.0,False
-40.309379,307,16.708948,1,0,0,0,27,20.0,100.0,False
-38.30006,289,17.469011,1,0,1,0,22,50.0,100.0,False
-37.897254,327,18.922071,1,0,1,0,30,50.0,100.0,False
-38.294228,334,19.8368,1,0,1,0,36,50.0,100.0,False
-38.980632,321,20.654501,1,0,1,0,31,20.0,100.0,False
-38.657193,330,22.107619,1,0,1,0,27,40.0,100.0,False
-37.958379,312,22.837986,1,0,1,0,29,60.0,100.0,False
-38.133782,326,23.799613,1,0,1,0,32,40.0,100.0,False
-36.6442,328,25.199606,1,0,2,0,31,40.0,100.0,False
-36.052865,287,25.871343,1,0,2,0,27,50.0,100.0,False
-37.039017,344,26.803758,1,0,2,0,32,40.0,100.0,False
-37.59585,269,27.544416,1,0,1,0,25,50.0,100.0,False
-30.316327,408,29.152826,1,0,5,0,42,100.0,100.0,False
-36.625965,339,29.948124,1,0,2,0,35,50.0,100.0,False
-31.925812,385,31.416381,1,0,4,0,39,90.0,100.0,False
-31.628733,379,32.261954,1,0,4,0,39,100.0,100.0,False
-38.8342,336,33.117748,1,0,1,0,33,20.0,100.0,False
-33.985636,365,34.706221,1,0,3,0,39,80.0,100.0,False
-23.516028,468,35.8959,1,0,8,0,52,180.0,100.0,False
-34.163191,322,36.69153,1,0,3,0,32,80.0,100.0,False
-31.866988,387,39.123023,1,0,4,0,37,100.0,100.0,False
-33.443287,345,40.064292,1,0,3,0,34,90.0,100.0,False
-37.353064,264,40.706247,1,0,1,0,27,50.0,100.0,False
